star_id,orbital_period,transit_duration,transit_depth,planet_radius,star_radius,star_temp,star_logg,label
13499636,11.3246821,5.9704136,1937.5829721,4.2917226,0.824734,5518.0,4.59176,0
43064903,6.261169,2.0369188,4005.022808,1.3468319,0.211257,3145.0,5.04431,0
153949511,,4.6,1405.9675071,3.2287724,0.857648,5544.0,4.5609,0
153949511,14.8559691,3.711,1127.0,2.72638,0.86,5544.0,4.5609,1
163539739,14.4751062,1.6182484,9618.5798534,8.6976173,0.55035,3841.0,4.69364,1
224297258,9.6141636,3.4271882,933.6532689,3.2264735,0.840608,5477.0,4.5707,1
391949880,4.9404714,1.954,455.0,2.3216,1.13,6086.0,4.26269,1
230017324,9.6926392,3.0182304,1838.2370548,3.289074,0.746003,4665.0,4.56182,1
232971294,6.390888,3.766,435.0,2.47201,1.32,6191.0,4.27017,1
236445129,0.9689927,2.5496309,13532.9710157,17.1331258,1.41398,6430.0,4.25113,1
266593143,10.338505,4.242,18162.0,11.8729,0.84,5336.96,4.55466,1
